data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
a1_t2s,rtdetr-x,86.0,128,4,1,0.069,0.1484,0.25,0.2223,0.2353,709,494,878,DETR,large
a1_t2s,rtdetr-x,86.0,500,4,1,0.1776,0.3219,0.5441,0.3061,0.3918,709,419,601,DETR,large
a2_s2t,rtdetr-x,86.0,32,4,1,0.2344,0.4552,0.7001,0.4302,0.5329,451,151,1977,DETR,large
a2_s2t,rtdetr-x,86.0,128,4,1,0.3165,0.5948,0.6591,0.5322,0.5889,451,119,500,DETR,large
a2_s2t,rtdetr-x,86.0,500,4,1,0.4558,0.7346,0.8036,0.663,0.7265,451,86,462,DETR,large
b_light,rtdetr-x,86.0,32,4,1,0.3701,0.6489,0.8627,0.5757,0.6906,436,152,138,DETR,large
b_light,rtdetr-x,86.0,128,4,1,0.3857,0.6571,0.8004,0.6032,0.688,436,119,468,DETR,large
b_light,rtdetr-x,86.0,500,4,1,0.5136,0.7956,0.9066,0.6903,0.7838,436,91,153,DETR,large
0_all,rtdetr-l,45.0,32,4,1,0.4522,0.7889,0.821,0.7259,0.7705,1160,200,633,DETR,small
0_all,rtdetr-l,45.0,128,4,1,0.5318,0.8587,0.8659,0.8026,0.8331,1160,121,620,DETR,small
0_all,rtdetr-l,45.0,500,4,1,0.5877,0.9034,0.9181,0.8215,0.8671,1160,87,585,DETR,small
a1_t2s,rtdetr-l,45.0,32,4,1,0.0987,0.1917,0.5236,0.1829,0.2711,709,528,787,DETR,small
a1_t2s,rtdetr-l,45.0,128,4,1,0.0903,0.179,0.3655,0.2186,0.2736,709,541,270,DETR,small
a1_t2s,rtdetr-l,45.0,500,4,1,0.1473,0.2838,0.6043,0.2584,0.362,709,470,379,DETR,small
a2_s2t,rtdetr-l,45.0,32,4,1,0.345,0.5781,0.6743,0.5279,0.5922,451,131,686,DETR,small
a2_s2t,rtdetr-l,45.0,128,4,1,0.225,0.4372,0.554,0.4257,0.4815,451,213,222,DETR,small
a2_s2t,rtdetr-l,45.0,500,4,1,0.4555,0.7433,0.8153,0.6452,0.7204,451,109,203,DETR,small
b_light,rtdetr-l,45.0,32,4,1,0.4626,0.7486,0.8277,0.6514,0.729,436,96,216,DETR,small
b_light,rtdetr-l,45.0,128,4,1,0.458,0.7424,0.8668,0.6468,0.7408,436,113,179,DETR,small
b_light,rtdetr-l,45.0,500,4,1,0.5225,0.8197,0.8649,0.7431,0.7994,436,72,185,DETR,small
0_all,yolo12n,2.6,32,4,1,0.4192,0.7319,0.8167,0.6129,0.7003,1160,475,98,YOLOv12,small
0_all,yolo12n,2.6,128,4,1,0.5514,0.8696,0.9059,0.7716,0.8334,1160,215,145,YOLOv12,small
0_all,yolo12n,2.6,500,4,1,0.6192,0.9273,0.9185,0.8629,0.8898,1160,105,189,YOLOv12,small
a1_t2s,yolo12n,2.6,32,4,1,0.0517,0.1224,0.2967,0.1128,0.1635,709,646,87,YOLOv12,small
a1_t2s,yolo12n,2.6,128,4,1,0.0804,0.1743,0.3726,0.1946,0.2557,709,548,267,YOLOv12,small
a1_t2s,yolo12n,2.6,500,4,1,0.127,0.2404,0.5382,0.2257,0.318,709,558,95,YOLOv12,small
a2_s2t,yolo12n,2.6,32,4,1,0.1238,0.3011,0.4257,0.3636,0.3922,451,240,399,YOLOv12,small
a2_s2t,yolo12n,2.6,128,4,1,0.2169,0.44,0.5408,0.4235,0.475,451,271,90,YOLOv12,small
a2_s2t,yolo12n,2.6,500,4,1,0.3791,0.6791,0.778,0.5898,0.671,451,130,179,YOLOv12,small
b_light,yolo12n,2.6,32,4,1,0.3435,0.6411,0.7951,0.525,0.6324,436,178,87,YOLOv12,small
b_light,yolo12n,2.6,128,4,1,0.4521,0.7145,0.872,0.6399,0.7381,436,148,52,YOLOv12,small
b_light,yolo12n,2.6,500,4,1,0.5128,0.7984,0.7787,0.7638,0.7712,436,92,117,YOLOv12,small
0_all,yolo11n,2.6,32,4,1,0.406,0.732,0.7962,0.6534,0.7178,1160,340,276,YOLOv11,small
0_all,yolo11n,2.6,128,4,1,0.5625,0.8789,0.9045,0.7879,0.8422,1160,207,136,YOLOv11,small
0_all,yolo11n,2.6,500,4,1,0.6196,0.9302,0.9154,0.8679,0.891,1160,114,153,YOLOv11,small
a1_t2s,yolo11n,2.6,32,4,1,0.0724,0.1841,0.262,0.2158,0.2367,709,575,298,YOLOv11,small
a1_t2s,yolo11n,2.6,128,4,1,0.0698,0.1536,0.3367,0.1551,0.2124,709,600,151,YOLOv11,small
a1_t2s,yolo11n,2.6,500,4,1,0.1124,0.2113,0.3963,0.2355,0.2955,709,539,219,YOLOv11,small
a2_s2t,yolo11n,2.6,32,4,1,0.1069,0.224,0.4711,0.1951,0.2759,451,377,54,YOLOv11,small
a2_s2t,yolo11n,2.6,128,4,1,0.2244,0.4186,0.6155,0.3549,0.4502,451,291,53,YOLOv11,small
a2_s2t,yolo11n,2.6,500,4,1,0.3994,0.6985,0.7751,0.6053,0.6798,451,158,97,YOLOv11,small
b_light,yolo11n,2.6,32,4,1,0.3634,0.6617,0.7435,0.5849,0.6547,436,143,165,YOLOv11,small
b_light,yolo11n,2.6,128,4,1,0.5178,0.797,0.8465,0.7133,0.7742,436,125,49,YOLOv11,small
b_light,yolo11n,2.6,500,4,1,0.5283,0.8275,0.8612,0.7684,0.8121,436,92,69,YOLOv11,small
0_all,yolo12x,59.1,32,4,2,0.3754,0.6782,0.7622,0.6133,0.6797,1160,387,294,YOLOv12,large
0_all,yolo12x,59.1,128,4,2,0.5545,0.8688,0.9067,0.7784,0.8377,1160,243,103,YOLOv12,large
0_all,yolo12x,59.1,500,4,2,0.6383,0.9351,0.9236,0.8603,0.8909,1160,115,119,YOLOv12,large
a1_t2s,yolo12x,59.1,32,4,2,0.0684,0.1606,0.3375,0.1453,0.2031,709,607,120,YOLOv12,large
a1_t2s,yolo12x,59.1,128,4,2,0.1078,0.2166,0.4801,0.2005,0.2829,709,520,396,YOLOv12,large
a1_t2s,yolo12x,59.1,500,4,2,0.0993,0.1912,0.484,0.1876,0.2704,709,552,231,YOLOv12,large
a2_s2t,yolo12x,59.1,32,4,2,0.1136,0.264,0.4478,0.2417,0.3139,451,358,66,YOLOv12,large
a2_s2t,yolo12x,59.1,128,4,2,0.238,0.4863,0.6167,0.4816,0.5409,451,247,69,YOLOv12,large
a2_s2t,yolo12x,59.1,500,4,2,0.3264,0.5969,0.6722,0.5593,0.6106,451,162,213,YOLOv12,large
b_light,yolo12x,59.1,32,4,2,0.3886,0.6553,0.6866,0.617,0.6499,436,145,163,YOLOv12,large
b_light,yolo12x,59.1,128,4,2,0.459,0.6998,0.8745,0.6124,0.7203,436,178,24,YOLOv12,large
b_light,yolo12x,59.1,500,4,2,0.5298,0.8095,0.8829,0.6919,0.7758,436,102,101,YOLOv12,large
0_all,yolo11x,56.9,32,4,2,0.3657,0.6969,0.7641,0.6241,0.6871,1160,280,796,YOLOv11,large
0_all,yolo11x,56.9,128,4,2,0.5691,0.869,0.8852,0.7784,0.8284,1160,277,76,YOLOv11,large
0_all,yolo11x,56.9,500,4,2,0.6344,0.9283,0.9322,0.8656,0.8977,1160,114,118,YOLOv11,large
a1_t2s,yolo11x,56.9,32,4,2,0.0504,0.1162,0.3175,0.0874,0.1371,709,650,60,YOLOv11,large
a1_t2s,yolo11x,56.9,128,4,2,0.0814,0.1705,0.3559,0.1495,0.2106,709,601,143,YOLOv11,large
a1_t2s,yolo11x,56.9,500,4,2,0.0913,0.1676,0.4298,0.1707,0.2443,709,578,212,YOLOv11,large
a2_s2t,yolo11x,56.9,32,4,2,0.138,0.3411,0.4314,0.4013,0.4158,451,251,202,YOLOv11,large
a2_s2t,yolo11x,56.9,128,4,2,0.1807,0.3382,0.5305,0.3358,0.4112,451,307,72,YOLOv11,large
a2_s2t,yolo11x,56.9,500,4,2,0.3569,0.6306,0.7841,0.5211,0.6261,451,188,111,YOLOv11,large
b_light,yolo11x,56.9,32,4,2,0.357,0.6311,0.7947,0.5642,0.6599,436,171,106,YOLOv11,large
b_light,yolo11x,56.9,128,4,2,0.4757,0.7145,0.8398,0.613,0.7087,436,174,26,YOLOv11,large
b_light,yolo11x,56.9,500,4,2,0.5293,0.842,0.8289,0.7667,0.7966,436,89,98,YOLOv11,large
0_all,rtdetr-x,86.0,32,4,2,0.4291,0.7324,0.8589,0.6665,0.7506,1160,325,225,DETR,large
0_all,rtdetr-x,86.0,128,4,2,0.4788,0.7781,0.851,0.6914,0.7629,1160,203,694,DETR,large
0_all,rtdetr-x,86.0,500,4,2,0.6161,0.9184,0.9146,0.8674,0.8903,1160,110,134,DETR,large
a1_t2s,rtdetr-x,86.0,32,4,2,0.0486,0.1192,0.3647,0.1312,0.193,709,606,181,DETR,large
a1_t2s,rtdetr-x,86.0,128,4,2,0.1041,0.207,0.4669,0.2158,0.2952,709,527,399,DETR,large
a1_t2s,rtdetr-x,86.0,500,4,2,0.1331,0.227,0.4849,0.2341,0.3158,709,525,207,DETR,large
