data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
b_light,yolo12n,2.6,500,8,1,0.5232,0.8201,0.8829,0.7432,0.8071,436,91,86,YOLOv12,small
0_all,yolo11n,2.6,32,8,1,0.4605,0.7936,0.8154,0.7052,0.7563,1160,318,183,YOLOv11,small
0_all,yolo11n,2.6,128,8,1,0.5595,0.877,0.8981,0.7822,0.8361,1160,244,111,YOLOv11,small
0_all,yolo11n,2.6,500,8,1,0.6143,0.931,0.9007,0.8491,0.8742,1160,116,195,YOLOv11,small
a1_t2s,yolo11n,2.6,32,8,1,0.0441,0.1189,0.3328,0.1086,0.1638,709,630,81,YOLOv11,small
a1_t2s,yolo11n,2.6,128,8,1,0.1126,0.2123,0.4251,0.1791,0.2521,709,563,231,YOLOv11,small
a1_t2s,yolo11n,2.6,500,8,1,0.1216,0.2402,0.4681,0.2214,0.3006,709,521,276,YOLOv11,small
a2_s2t,yolo11n,2.6,32,8,1,0.1844,0.385,0.5815,0.3592,0.4441,451,269,116,YOLOv11,small
a2_s2t,yolo11n,2.6,128,8,1,0.2305,0.4561,0.6119,0.4299,0.505,451,265,63,YOLOv11,small
a2_s2t,yolo11n,2.6,500,8,1,0.3048,0.5817,0.7312,0.4745,0.5755,451,203,142,YOLOv11,small
b_light,yolo11n,2.6,32,8,1,0.3741,0.6504,0.7921,0.5592,0.6556,436,173,81,YOLOv11,small
b_light,yolo11n,2.6,128,8,1,0.4754,0.7522,0.8842,0.6832,0.7708,436,131,51,YOLOv11,small
b_light,yolo11n,2.6,500,8,1,0.5329,0.8343,0.8444,0.7706,0.8058,436,90,78,YOLOv11,small
