yolo11x,87.99,3080ti
yolo11x,88.24,3080ti
yolo11x,88.35,3080ti
yolo11x,88.34,3080ti
yolo11x,88.07,3080ti
yolo11x,88.02,3080ti
yolo12x,63.14,3080ti
yolo12x,60.62,3080ti
yolo12x,60.51,3080ti
yolo12x,60.57,3080ti
yolo12x,60.33,3080ti
yolo12x,60.49,3080ti
yolo12x,60.44,3080ti
yolo12x,60.47,3080ti
yolo12x,60.57,3080ti
yolo12x,60.44,3080ti
yolo12x,60.4,3080ti
yolo12x,60.34,3080ti
yolo12x,60.42,3080ti
yolo12x,60.49,3080ti
yolo12x,60.35,3080ti
yolo12x,60.39,3080ti
yolo12x,60.43,3080ti
yolo12x,60.41,3080ti
yolo12x,60.32,3080ti
yolo12x,60.28,3080ti
yolo12x,60.33,3080ti
yolo12x,60.41,3080ti
yolo12x,60.28,3080ti
yolo12x,60.37,3080ti
yolo12x,60.03,3080ti
yolo12x,60.15,3080ti
yolo12x,60.2,3080ti
yolo12x,60.28,3080ti
yolo11n,1362.45,3080ti
yolo11n,1025.52,3080ti
yolo11n,1021.51,3080ti
yolo11n,1016.12,3080ti
yolo11n,1015.65,3080ti
yolo11n,1015.34,3080ti
yolo11n,1016.23,3080ti
yolo11n,1016.31,3080ti
yolo11n,1016.08,3080ti
yolo11n,1021.38,3080ti
yolo11n,1015.14,3080ti
yolo11n,1016.39,3080ti
yolo11n,1015.23,3080ti
yolo11n,1014.56,3080ti
yolo11n,1015.77,3080ti
yolo11n,1016.29,3080ti
yolo11n,1020.65,3080ti
yolo11n,1015.69,3080ti
yolo11n,1014.45,3080ti
yolo11n,1016.14,3080ti
yolo11n,1015.79,3080ti
yolo11n,1015.94,3080ti
yolo11n,1016.29,3080ti
yolo11n,1020.23,3080ti
yolo11n,1016.03,3080ti
yolo11n,1015.65,3080ti
yolo12n,897.73,3080ti
yolo12n,662.48,3080ti
yolo12n,660.62,3080ti
yolo12n,663.33,3080ti
yolo12n,660.82,3080ti
yolo12n,661.53,3080ti
yolo12n,661.29,3080ti
yolo12n,660.57,3080ti
yolo12n,661.04,3080ti
yolo12n,662.71,3080ti
yolo12n,661.49,3080ti
yolo12n,660.56,3080ti
yolo12n,660.87,3080ti
yolo12n,661.01,3080ti
yolo12n,662.79,3080ti
yolo12n,661.1,3080ti
yolo12n,661.3,3080ti
yolo12n,660.72,3080ti
yolo12n,660.89,3080ti
yolo12n,662.67,3080ti
yolo12n,660.83,3080ti
yolo12n,661.36,3080ti
yolo12n,660.7,3080ti
yolo12n,660.88,3080ti
yolo12n,662.61,3080ti
yolo12n,660.93,3080ti
yolo12n,660.84,3080ti
rtdetr-x,72.32,3080ti
rtdetr-x,70.52,3080ti
rtdetr-x,70.45,3080ti
rtdetr-x,70.38,3080ti
rtdetr-x,70.22,3080ti
rtdetr-x,70.49,3080ti
rtdetr-x,70.44,3080ti
rtdetr-x,70.31,3080ti
rtdetr-x,70.46,3080ti
