family,n,data,map5095,map5095,map50,map50,precision,precision,recall,recall
,,,mean,std,mean,std,mean,std,mean,std
DETR,32,0_all,0.46220999999999995,0.023096817407577488,0.777115,0.024232501484682263,0.849015,0.03160243864332512,0.705305,0.029155638501158848
DETR,32,a1_t2s,0.0882925,0.032636187147681045,0.18389,0.06180598178667974,0.42944750000000004,0.09527898303914854,0.19176500000000002,0.056751096453883154
DETR,32,a2_s2t,0.3116325,0.06502279437598432,0.57528,0.09170631832383644,0.6986049999999999,0.07431629544878275,0.5201475,0.07936230451672335
DETR,32,b_light,0.403085,0.030468163712307973,0.6835375,0.03963411951194552,0.8365475,0.03567801152545161,0.61372,0.043207526647267826
DETR,128,0_all,0.532885,0.04238315793948202,0.8483325,0.04298973871303923,0.8796275,0.03253790678893046,0.7725325,0.05116288913225067
DETR,128,a1_t2s,0.11162000000000001,0.024059916661193767,0.21693250000000003,0.044581129660371685,0.4659225,0.0826469367093294,0.2291125,0.04456119495877378
DETR,128,a2_s2t,0.3406075,0.05535541753071689,0.6168425,0.07195793959329867,0.7037074999999999,0.07723075774785391,0.5604525,0.06144164622652652
DETR,128,b_light,0.44194000000000006,0.04121180313876982,0.7190875,0.05014753202251051,0.8328875,0.045840225239411725,0.64659,0.048203451307439776
DETR,500,0_all,0.5865975,0.06759991840193828,0.8902125,0.0795379902375314,0.89252,0.05622394872522215,0.8183025,0.0792130476415765
DETR,500,a1_t2s,0.1456425,0.027131284690820653,0.25701,0.0453687388136199,0.5307725,0.07385625327239324,0.251065,0.038408816762928344
DETR,500,a2_s2t,0.42195,0.055067790390223005,0.7095100000000001,0.06901125066211103,0.7829475,0.0691047995939723,0.6348975,0.05884351907542145
DETR,500,b_light,0.48684000000000005,0.060684944273999786,0.771685,0.06977510962425584,0.838635,0.04796551939969013,0.6960925,0.07454641090089535
YOLOv11,32,0_all,0.425247619047619,0.027982496603127075,0.7373190476190477,0.030968845384300368,0.8138738095238095,0.028781668111489085,0.6423904761904762,0.03372091201442786
YOLOv11,32,a1_t2s,0.0575975,0.01887905483700022,0.1337375,0.03619803569893729,0.25296250000000003,0.09134016637596924,0.128135,0.03668998710610503
YOLOv11,32,a2_s2t,0.13125,0.030257959325838597,0.29683000000000004,0.0647545749299536,0.47867,0.07197966308226161,0.2848625,0.08174477380769853
YOLOv11,32,b_light,0.37283,0.031164939208948174,0.6487175,0.0396049393934516,0.8003724999999999,0.035135357219232534,0.5601775,0.04362820475334735
YOLOv11,128,0_all,0.5705125,0.014454955454081729,0.8711825,0.010861243435922006,0.8975025000000001,0.016242291860196156,0.7794525,0.018309448135474783
YOLOv11,128,a1_t2s,0.09821250000000001,0.019966679776118296,0.19666,0.032357354016890175,0.4118575,0.07822147677899709,0.17246250000000002,0.028458477962616312
YOLOv11,128,a2_s2t,0.22773249999999998,0.04168929880215527,0.4489875,0.06669822658427418,0.62858,0.07366728460119062,0.40652999999999995,0.05808394985509534
YOLOv11,128,b_light,0.483005,0.016693126944329135,0.7550575,0.024944532184377307,0.8711949999999999,0.02039847845004433,0.66264,0.03651649293689436
YOLOv11,500,0_all,0.6277225,0.010827398472962362,0.9292875,0.00561062122343156,0.9144325,0.012199020294837054,0.860155,0.012188139463828894
YOLOv11,500,a1_t2s,0.1110125,0.01571920575242844,0.206785,0.027533080802219324,0.438875,0.06574637652099943,0.201115,0.025878221216562265
YOLOv11,500,a2_s2t,0.314005,0.042902769918347544,0.5764975,0.06133125897063484,0.6953050000000001,0.06698220563548853,0.51332,0.05585279737272767
YOLOv11,500,b_light,0.5286425,0.014747914020251086,0.81824,0.0179374811712579,0.87382,0.026563838925530672,0.729475,0.02444863532450778
YOLOv12,32,0_all,0.4191543478260869,0.020001196703327964,0.7404891304347826,0.023859814922080648,0.8131565217391304,0.02959164035236916,0.6486282608695653,0.03407432831680687
YOLOv12,32,a1_t2s,0.05644666666666666,0.015752223508271636,0.1356511111111111,0.030720637290843355,0.2607422222222222,0.08136749264040191,0.1274266666666667,0.03138781176305107
YOLOv12,32,a2_s2t,0.1293622222222222,0.03710634771038562,0.30558444444444444,0.07766416909757139,0.45845555555555556,0.09647946685825191,0.31666222222222223,0.08319375328628097
YOLOv12,32,b_light,0.35569090909090906,0.028634032590785192,0.6194136363636363,0.04165409938735525,0.7860227272727273,0.038156555495389335,0.5365272727272727,0.045724001959361604
YOLOv12,128,0_all,0.5582782608695652,0.01771106262002466,0.8682478260869565,0.006813964065079378,0.8875347826086957,0.018526212269722116,0.7832434782608696,0.013974113403383687
YOLOv12,128,a1_t2s,0.09615555555555555,0.01602844850932746,0.19333333333333333,0.021458977777907482,0.41125999999999996,0.057467312448034324,0.1726666666666667,0.021588180688852536
YOLOv12,128,a2_s2t,0.2338,0.0390397757538269,0.46605555555555556,0.05659941597657072,0.6211977777777778,0.06734431706093723,0.4339111111111111,0.05048364821775201
YOLOv12,128,b_light,0.4682590909090909,0.018261795400435224,0.7388795454545455,0.023876753115184404,0.8702318181818182,0.02839564143370052,0.654534090909091,0.030465695104889737
YOLOv12,500,0_all,0.6230108695652173,0.010959931635246424,0.9284304347826087,0.006329889223717993,0.9076978260869566,0.011703551011560271,0.8622260869565217,0.01253763108552468
YOLOv12,500,a1_t2s,0.11795333333333334,0.014391610561207333,0.22122666666666665,0.026923784686001734,0.4561711111111111,0.06304944532313948,0.21202000000000001,0.025607630254920646
YOLOv12,500,a2_s2t,0.3180222222222222,0.03786510079989038,0.5862333333333334,0.06293991001524606,0.6878488888888888,0.06907586942901071,0.5280066666666667,0.054216000657303455
YOLOv12,500,b_light,0.5228386363636364,0.01412100885632849,0.8119068181818182,0.01812073716000503,0.8706068181818182,0.02695797243882941,0.7298181818181818,0.02594032752233812
