family,n,data,size,pretrain,map5095,map5095,map50,map50,precision,precision,recall,recall,
,,,,,mean,std,mean,std,mean,std,mean,std,
YOLOv11,200,e_VT,small,FALSE,0.60601875,0.009599321,0.91281875,0.006273672,0.89723125,0.016235751,0.8432625,0.017111823,-0.0004375
YOLOv11,200,e_VT,small,TRUE,0.60645625,0.008487636,0.8975125,0.006124364,0.89239375,0.01823109,0.83035,0.016815469,
YOLOv12,16,e_IMU,large,FALSE,0.389521739,0.026879444,0.708995652,0.033701679,0.744295652,0.038231347,0.62256087,0.037891925,
YOLOv12,16,e_IMU,large,TRUE,0.329724,0.035276518,0.632216,0.041996832,0.70858,0.047869806,0.536488,0.046372642,
YOLOv12,16,e_IMU,small,FALSE,0.365042857,0.024505189,0.709810714,0.030509329,0.769101786,0.043102518,0.616333929,0.037762065,
YOLOv12,16,e_IMU,small,TRUE,0.3214625,0.030689273,0.649421429,0.04100728,0.719594643,0.058833069,0.570385714,0.041632319,
YOLOv12,16,e_VT,large,FALSE,0.484271429,0.018821428,0.807590476,0.02291796,0.817328571,0.037273531,0.720280952,0.039679675,
YOLOv12,16,e_VT,large,TRUE,0.365457143,0.037646163,0.672914286,0.034195735,0.742352381,0.05813681,0.574519048,0.059118725,
YOLOv12,16,e_VT,small,FALSE,0.476014545,0.021474597,0.808992727,0.022802565,0.813312727,0.032926793,0.718998182,0.03245538,
YOLOv12,16,e_VT,small,TRUE,0.378008929,0.027938096,0.699942857,0.032643178,0.754641071,0.049476701,0.622158929,0.043560724,
YOLOv12,64,e_IMU,large,FALSE,0.480304348,0.015360441,0.803021739,0.015613454,0.816626087,0.023656524,0.7104,0.026812277,
YOLOv12,64,e_IMU,large,TRUE,0.468143478,0.017585759,0.783582609,0.015479125,0.797934783,0.023430256,0.693282609,0.021410207,
YOLOv12,64,e_IMU,small,FALSE,0.436242105,0.012332311,0.792278947,0.016236022,0.8341,0.023299142,0.694373684,0.022752945,
YOLOv12,64,e_IMU,small,TRUE,0.428826316,0.012301619,0.765515789,0.013408134,0.809910526,0.022509279,0.673794737,0.032306629,
YOLOv12,64,e_VT,large,FALSE,0.570128571,0.014727258,0.876904762,0.008081923,0.868338095,0.021166258,0.799866667,0.024253769,
YOLOv12,64,e_VT,large,TRUE,0.530938095,0.022600143,0.839590476,0.015228293,0.85292381,0.027623123,0.757571429,0.022228498,
YOLOv12,64,e_VT,small,FALSE,0.553388889,0.011623854,0.871655556,0.010908562,0.862288889,0.032164136,0.793133333,0.030050546,
YOLOv12,64,e_VT,small,TRUE,0.521488889,0.019317133,0.833894444,0.010315007,0.853516667,0.019476117,0.750788889,0.021490323,
YOLOv12,200,e_IMU,large,FALSE,0.516195455,0.014284673,0.853768182,0.009750916,0.868604545,0.021779533,0.765872727,0.013634277,-0.002456719
YOLOv12,200,e_IMU,large,TRUE,0.518652174,0.015734614,0.847852174,0.009349957,0.862665217,0.022834555,0.762378261,0.017174054,
YOLOv12,200,e_IMU,small,FALSE,0.493742105,0.007604408,0.849452632,0.005503874,0.870247368,0.018452744,0.747978947,0.017263081,0.010610526
YOLOv12,200,e_IMU,small,TRUE,0.483131579,0.014003335,0.838710526,0.015124259,0.870994737,0.016391748,0.747736842,0.015261615,
YOLOv12,200,e_VT,large,FALSE,0.62731,0.011538216,0.909445,0.004862041,0.887225,0.015720448,0.852905,0.015452218,0.017638571
YOLOv12,200,e_VT,large,TRUE,0.609671429,0.018340233,0.897885714,0.007894257,0.884233333,0.019955183,0.830338095,0.018604528,
YOLOv12,200,e_VT,small,FALSE,0.596077778,0.012087502,0.903577778,0.010828696,0.876788889,0.019692276,0.836894444,0.016291661,0.010816667
YOLOv12,200,e_VT,small,TRUE,0.585261111,0.013786999,0.887827778,0.010766222,0.8826,0.008989275,0.824177778,0.016560142,
