family,n,data,size,map5095,map5095,map50,map50,precision,precision,recall,recall
,,,,mean,std,mean,std,mean,std,mean,std
YOLOv12,32,a2_s2t,large,0.125004348,0.036506469,0.30513913,0.084227828,0.469873913,0.085259098,0.32193913,0.087572831
YOLOv12,32,a2_s2t,small,0.133918182,0.038028456,0.30605,0.072147763,0.446518182,0.10768349,0.311145455,0.080031183
YOLOv12,32,b_light,large,0.35546087,0.029319722,0.62076087,0.045772816,0.79356087,0.039315354,0.535843478,0.052799284
YOLOv12,32,b_light,small,0.355942857,0.028584324,0.617938095,0.037700776,0.777766667,0.035958995,0.53727619,0.037779676
YOLOv12,128,0_all,large,0.564686957,0.015880557,0.868669565,0.006922259,0.893782609,0.018604219,0.776847826,0.012220395
YOLOv12,128,0_all,small,0.551869565,0.017422776,0.867826087,0.006832357,0.881286957,0.016562178,0.78963913,0.012828191
YOLOv12,128,a1_t2s,large,0.100773913,0.014023526,0.196547826,0.019470884,0.4184,0.057502008,0.180765217,0.019880109
YOLOv12,128,a1_t2s,small,0.091327273,0.016866625,0.189972727,0.023334834,0.403795455,0.05780456,0.1642,0.020384191
YOLOv12,128,a2_s2t,large,0.224347826,0.038505972,0.459608696,0.060143978,0.617847826,0.077322753,0.434856522,0.053740114
YOLOv12,128,a2_s2t,small,0.243681818,0.037945922,0.472795455,0.053192315,0.6247,0.056690295,0.432922727,0.04808737
YOLOv12,128,b_light,large,0.471686957,0.01903562,0.734347826,0.026175541,0.8688,0.029072261,0.642373913,0.033897656
YOLOv12,128,b_light,small,0.464504762,0.017032542,0.743842857,0.020556157,0.8718,0.028265102,0.667852381,0.019372367
YOLOv12,500,0_all,large,0.631808696,0.0074689,0.932334783,0.004964566,0.909652174,0.011462503,0.864495652,0.012093066
YOLOv12,500,0_all,small,0.614213043,0.005298654,0.924526087,0.005043377,0.905743478,0.011865796,0.859956522,0.012826423
YOLOv12,500,a1_t2s,large,0.111034783,0.011979285,0.203391304,0.01774355,0.465217391,0.065964044,0.194265217,0.016159
YOLOv12,500,a1_t2s,small,0.125186364,0.01328129,0.239872727,0.021825786,0.446713636,0.059893813,0.230581818,0.019854582
YOLOv12,500,a2_s2t,large,0.332673913,0.03247556,0.611173913,0.052147293,0.703330435,0.058686908,0.5533,0.044209563
YOLOv12,500,a2_s2t,small,0.302704545,0.037660001,0.560159091,0.063700838,0.671663636,0.076500168,0.501563636,0.051748637
YOLOv12,500,b_light,large,0.52896087,0.014150417,0.812495652,0.019086013,0.876517391,0.017343447,0.725517391,0.027223079
YOLOv12,500,b_light,small,0.516133333,0.010869468,0.811261905,0.017448137,0.864133333,0.033873638,0.734528571,0.024227302
