data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_IMU,False,rtdetr-l,45.0,16,5,7,0.4017,0.7653,0.8544,0.6391,0.7312,808,165,365,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,7,0.4247,0.7741,0.8747,0.6201,0.7257,408,50,555,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,7,0.5043,0.8491,0.8107,0.7558,0.7823,408,52,220,DETR,small
e_IMU,True,yolo12n,2.6,16,5,7,0.3506,0.6597,0.7453,0.5685,0.645,808,336,128,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,7,0.3602,0.6867,0.8106,0.5359,0.6452,808,296,202,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,7,0.3362,0.6487,0.6643,0.6201,0.6414,408,167,87,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,7,0.4742,0.8205,0.8037,0.7279,0.7639,408,71,186,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,7,0.3444,0.6522,0.7454,0.573,0.6479,808,366,101,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,7,0.3839,0.724,0.7897,0.6213,0.6954,808,244,215,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,7,0.3832,0.7432,0.8394,0.625,0.7165,408,97,208,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,7,0.464,0.8012,0.7565,0.7385,0.7474,408,71,186,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,8,0.3919,0.7409,0.7874,0.7059,0.7445,808,182,316,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,8,0.3856,0.764,0.7715,0.729,0.7496,808,166,311,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,8,0.4197,0.7597,0.8498,0.6789,0.7548,408,86,229,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,8,0.5049,0.8257,0.8522,0.7207,0.7809,408,85,98,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,8,0.4083,0.7448,0.7699,0.6876,0.7264,808,99,1806,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,8,0.3767,0.7324,0.7538,0.6683,0.7085,808,167,449,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,8,0.4257,0.7306,0.8198,0.6716,0.7383,408,113,76,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,8,0.4745,0.7901,0.7986,0.7451,0.7709,408,79,130,DETR,small
e_IMU,True,yolo12n,2.6,16,5,8,0.3279,0.6521,0.6448,0.5863,0.6141,808,315,237,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,8,0.3775,0.7105,0.7551,0.6069,0.673,808,275,214,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,8,0.4074,0.7295,0.8077,0.6225,0.7032,408,147,75,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,8,0.5049,0.7976,0.8076,0.6887,0.7434,408,130,49,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,8,0.3383,0.6934,0.8009,0.5974,0.6843,808,243,282,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,8,0.3765,0.7276,0.799,0.625,0.7014,808,212,339,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,8,0.4246,0.7229,0.7475,0.6446,0.6923,408,142,75,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,8,0.4956,0.8324,0.8503,0.7255,0.7829,408,90,92,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,9,0.3334,0.695,0.731,0.6485,0.6873,808,194,403,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,9,0.3378,0.7475,0.7573,0.7067,0.7311,808,179,336,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,9,0.4356,0.7535,0.8046,0.6863,0.7407,408,92,212,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,9,0.484,0.8264,0.7997,0.7574,0.7779,408,37,536,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,9,0.3481,0.7486,0.7508,0.6906,0.7194,808,144,489,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,9,0.3732,0.7534,0.756,0.7166,0.7358,808,170,323,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,9,0.4237,0.7629,0.845,0.695,0.7627,408,86,196,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,9,0.5164,0.8337,0.8302,0.7188,0.7705,408,51,316,DETR,small
e_IMU,True,yolo12n,2.6,16,5,9,0.28,0.6211,0.6556,0.6176,0.636,808,247,337,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,9,0.3212,0.653,0.7123,0.5656,0.6305,808,295,191,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,9,0.3963,0.7226,0.7534,0.6593,0.7032,408,134,78,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,9,0.4846,0.8109,0.8047,0.7328,0.7671,408,107,73,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,9,0.3004,0.6934,0.715,0.6238,0.6663,808,255,226,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,9,0.3248,0.6766,0.7096,0.5897,0.6441,808,334,130,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,9,0.3757,0.7332,0.7797,0.6961,0.7355,408,75,391,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,9,0.4822,0.8175,0.8013,0.7377,0.7682,408,116,60,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,10,0.419,0.7623,0.8253,0.7092,0.7628,808,97,1707,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,10,0.414,0.7825,0.8426,0.7054,0.7679,808,146,413,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,10,0.4512,0.7601,0.8322,0.7174,0.7706,408,103,98,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,10,0.4926,0.829,0.8319,0.7397,0.7831,408,57,230,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,10,0.3148,0.6102,0.7368,0.5421,0.6246,808,230,852,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,10,0.3942,0.7405,0.8021,0.6522,0.7194,808,160,459,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,10,0.4091,0.7325,0.8119,0.6772,0.7385,408,131,51,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,10,0.4695,0.8188,0.7659,0.7698,0.7678,408,34,671,DETR,small
e_IMU,True,yolo12n,2.6,16,5,10,0.3131,0.6421,0.7082,0.5668,0.6297,808,255,420,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,10,0.3628,0.6971,0.7516,0.5965,0.6651,808,258,295,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,10,0.3942,0.7234,0.7861,0.625,0.6963,408,133,94,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,10,0.489,0.8306,0.8193,0.6888,0.7484,408,82,148,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,10,0.3487,0.6608,0.6847,0.5879,0.6326,808,353,171,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,10,0.3721,0.7169,0.816,0.5982,0.6903,808,220,362,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,10,0.4046,0.7288,0.8209,0.652,0.7267,408,125,75,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,10,0.4948,0.8363,0.7624,0.7941,0.7779,408,57,171,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,11,0.3992,0.7442,0.7973,0.6621,0.7235,808,121,936,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,11,0.4082,0.7716,0.8152,0.7104,0.7592,808,139,563,DETR,large
e_IMU,True,yolo12x,59.1,16,3,1,0.2699,0.5242,0.6294,0.4245,0.507,808,579,63,YOLOv12,large
e_IMU,False,yolo12x,59.1,16,3,1,0.3332,0.6289,0.7061,0.5248,0.6021,808,416,106,YOLOv12,large
e_IMU,True,yolo12x,59.1,64,3,1,0.4823,0.7769,0.8056,0.6821,0.7388,808,244,121,YOLOv12,large
e_IMU,False,yolo12x,59.1,64,3,1,0.5024,0.797,0.8122,0.6918,0.7472,808,234,132,YOLOv12,large
e_IMU,True,yolo12x,59.1,200,3,1,0.5336,0.8547,0.8582,0.7748,0.8143,808,136,175,YOLOv12,large
e_IMU,False,yolo12x,59.1,200,3,1,0.5414,0.8499,0.8496,0.7622,0.8036,808,145,160,YOLOv12,large
e_VT,True,yolo12x,59.1,16,3,1,0.3932,0.6941,0.7674,0.6066,0.6776,408,165,61,YOLOv12,large
e_VT,False,yolo12x,59.1,16,3,1,0.4956,0.7992,0.7997,0.7083,0.7513,408,120,57,YOLOv12,large
e_VT,True,yolo12x,59.1,64,3,1,0.5222,0.8473,0.8336,0.777,0.8043,408,83,73,YOLOv12,large
e_VT,False,yolo12x,59.1,64,3,1,0.5417,0.8732,0.8641,0.7949,0.8281,408,54,102,YOLOv12,large
e_VT,True,yolo12x,59.1,200,3,1,0.622,0.8943,0.8992,0.8162,0.8557,408,70,44,YOLOv12,large
e_VT,False,yolo12x,59.1,200,3,1,0.6452,0.9141,0.8929,0.8784,0.8856,408,47,39,YOLOv12,large
e_IMU,True,yolo11x,56.9,16,3,1,0.2508,0.5151,0.5302,0.4777,0.5026,808,542,82,YOLOv11,large
e_IMU,False,yolo11x,56.9,16,3,1,0.3231,0.6088,0.688,0.5322,0.6001,808,503,71,YOLOv11,large
e_IMU,True,yolo11x,56.9,64,3,1,0.4959,0.7942,0.8194,0.6943,0.7517,808,267,87,YOLOv11,large
e_IMU,False,yolo11x,56.9,64,3,1,0.5031,0.8044,0.8062,0.7157,0.7583,808,221,129,YOLOv11,large
e_IMU,True,yolo11x,56.9,200,3,1,0.5499,0.8637,0.8292,0.7871,0.8076,808,147,126,YOLOv11,large
e_IMU,False,yolo11x,56.9,200,3,1,0.5491,0.8561,0.8211,0.7896,0.8051,808,138,153,YOLOv11,large
e_VT,True,yolo11x,56.9,16,3,1,0.4379,0.7401,0.7806,0.6365,0.7012,408,151,55,YOLOv11,large
e_VT,False,yolo11x,56.9,16,3,1,0.4984,0.8089,0.8676,0.7132,0.7829,408,128,36,YOLOv11,large
e_VT,True,yolo11x,56.9,64,3,1,0.4811,0.8329,0.8487,0.7549,0.799,408,68,126,YOLOv11,large
e_VT,False,yolo11x,56.9,64,3,1,0.5767,0.8946,0.8823,0.8267,0.8536,408,58,67,YOLOv11,large
e_VT,True,yolo11x,56.9,200,3,1,0.6119,0.902,0.9134,0.8526,0.8819,408,53,35,YOLOv11,large
e_VT,False,yolo11x,56.9,200,3,1,0.6331,0.906,0.8832,0.8505,0.8666,408,61,40,YOLOv11,large
e_IMU,True,rtdetr-x,86.0,16,3,1,0.3652,0.74,0.7921,0.6649,0.7229,808,187,342,DETR,large
e_IMU,False,rtdetr-x,86.0,16,3,1,0.3884,0.7592,0.7874,0.7104,0.7469,808,167,313,DETR,large
e_IMU,True,rtdetr-x,86.0,64,3,1,0.4656,0.8163,0.7988,0.7624,0.7801,808,109,543,DETR,large
e_IMU,False,rtdetr-x,86.0,64,3,1,0.4972,0.8463,0.8478,0.776,0.8103,808,91,467,DETR,large
e_IMU,True,rtdetr-x,86.0,200,3,1,0.5297,0.8644,0.8487,0.7773,0.8114,808,80,491,DETR,large
e_IMU,False,rtdetr-x,86.0,200,3,1,0.5083,0.8492,0.8982,0.7413,0.8123,808,89,688,DETR,large
e_VT,True,rtdetr-x,86.0,16,3,1,0.4183,0.7298,0.7645,0.6961,0.7287,408,107,99,DETR,large
e_VT,False,rtdetr-x,86.0,16,3,1,0.4896,0.8066,0.7945,0.777,0.7857,408,61,166,DETR,large
e_VT,True,rtdetr-x,86.0,64,3,1,0.4057,0.7269,0.8186,0.6422,0.7197,408,111,159,DETR,large
e_VT,False,rtdetr-x,86.0,64,3,1,0.5166,0.8431,0.8279,0.7696,0.7977,408,25,687,DETR,large
e_VT,True,rtdetr-x,86.0,200,3,1,0.5825,0.8998,0.8744,0.8775,0.8759,408,33,184,DETR,large
e_VT,False,rtdetr-x,86.0,200,3,1,0.61,0.9142,0.937,0.7917,0.8582,408,47,91,DETR,large
e_IMU,True,rtdetr-l,45.0,16,3,1,0.3874,0.6751,0.7243,0.6324,0.6753,808,171,1185,DETR,small
e_IMU,False,rtdetr-l,45.0,16,3,1,0.3492,0.6994,0.8087,0.6027,0.6907,808,284,164,DETR,small
e_IMU,True,rtdetr-l,45.0,64,3,1,0.4675,0.8368,0.8646,0.751,0.8038,808,129,292,DETR,small
e_IMU,False,rtdetr-l,45.0,64,3,1,0.4373,0.7759,0.8058,0.6968,0.7474,808,130,603,DETR,small
e_IMU,True,rtdetr-l,45.0,200,3,1,0.5141,0.8689,0.9025,0.7673,0.8294,808,98,347,DETR,small
e_IMU,False,rtdetr-l,45.0,200,3,1,0.5214,0.8573,0.8764,0.771,0.8204,808,85,531,DETR,small
e_VT,True,rtdetr-l,45.0,16,3,1,0.452,0.8043,0.8106,0.7132,0.7588,408,63,246,DETR,small
e_VT,False,rtdetr-l,45.0,16,3,1,0.5278,0.8399,0.8342,0.7353,0.7816,408,43,363,DETR,small
e_VT,True,rtdetr-l,45.0,64,3,1,0.5018,0.8124,0.8079,0.7917,0.7997,408,64,134,DETR,small
e_VT,False,rtdetr-l,45.0,64,3,1,0.558,0.8764,0.8345,0.7909,0.8121,408,38,204,DETR,small
e_VT,True,rtdetr-l,45.0,200,3,1,0.5867,0.8989,0.8949,0.8407,0.8669,408,45,95,DETR,small
e_VT,False,rtdetr-l,45.0,200,3,1,0.5894,0.9081,0.8628,0.8407,0.8516,408,35,166,DETR,small
e_IMU,True,yolo12n,2.6,16,3,1,0.3198,0.6442,0.6604,0.5755,0.615,808,340,171,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,3,1,0.369,0.7234,0.7629,0.62,0.6841,808,236,225,YOLOv12,small
e_IMU,True,yolo12n,2.6,64,3,1,0.4418,0.7792,0.8101,0.6881,0.7441,808,223,161,YOLOv12,small
e_IMU,False,yolo12n,2.6,64,3,1,0.4305,0.795,0.8467,0.7104,0.7726,808,164,258,YOLOv12,small
e_IMU,True,yolo12n,2.6,200,3,1,0.4967,0.8657,0.8909,0.7681,0.8249,808,108,288,YOLOv12,small
e_IMU,False,yolo12n,2.6,200,3,1,0.5037,0.8604,0.8448,0.7677,0.8044,808,102,326,YOLOv12,small
e_VT,True,yolo12n,2.6,16,3,1,0.4129,0.7094,0.7252,0.6152,0.6657,408,147,86,YOLOv12,small
e_VT,False,yolo12n,2.6,16,3,1,0.4919,0.8394,0.8324,0.7868,0.8089,408,67,96,YOLOv12,small
e_VT,True,yolo12n,2.6,64,3,1,0.4794,0.8209,0.847,0.7328,0.7858,408,67,139,YOLOv12,small
e_VT,False,yolo12n,2.6,64,3,1,0.551,0.88,0.8735,0.8126,0.8419,408,60,80,YOLOv12,small
e_VT,True,yolo12n,2.6,200,3,1,0.5681,0.8878,0.8748,0.8049,0.8384,408,56,90,YOLOv12,small
e_VT,False,yolo12n,2.6,200,3,1,0.5998,0.9171,0.8666,0.8627,0.8647,408,38,89,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,3,1,0.3441,0.6565,0.7128,0.556,0.6247,808,349,157,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,3,1,0.3678,0.7183,0.7761,0.6092,0.6826,808,244,250,YOLOv11,small
e_IMU,True,yolo11n,2.6,64,3,1,0.4478,0.7838,0.8673,0.6473,0.7413,808,207,206,YOLOv11,small
e_IMU,False,yolo11n,2.6,64,3,1,0.4554,0.7904,0.8121,0.6819,0.7414,808,202,189,YOLOv11,small
e_IMU,True,yolo11n,2.6,200,3,1,0.4888,0.8395,0.8851,0.7339,0.8024,808,136,230,YOLOv11,small
e_IMU,False,yolo11n,2.6,200,3,1,0.5027,0.8568,0.8939,0.7512,0.8164,808,123,233,YOLOv11,small
e_VT,True,yolo11n,2.6,16,3,1,0.4414,0.7719,0.7931,0.6691,0.7259,408,130,65,YOLOv11,small
e_VT,False,yolo11n,2.6,16,3,1,0.505,0.8401,0.8243,0.7358,0.7776,408,71,146,YOLOv11,small
e_VT,True,yolo11n,2.6,64,3,1,0.5124,0.8528,0.832,0.7768,0.8035,408,61,134,YOLOv11,small
e_VT,False,yolo11n,2.6,64,3,1,0.5435,0.8709,0.8693,0.7827,0.8237,408,57,90,YOLOv11,small
e_VT,True,yolo11n,2.6,200,3,1,0.6139,0.9025,0.8855,0.8528,0.8688,408,53,47,YOLOv11,small
e_VT,False,yolo11n,2.6,200,3,1,0.615,0.9222,0.9053,0.8456,0.8744,408,51,61,YOLOv11,small
e_IMU,True,yolo12x,59.1,16,3,2,0.3416,0.6853,0.7281,0.6089,0.6632,808,297,177,YOLOv12,large
e_IMU,False,yolo12x,59.1,16,3,2,0.3794,0.6946,0.7336,0.599,0.6595,808,318,139,YOLOv12,large
e_IMU,True,yolo12x,59.1,64,3,2,0.4725,0.7994,0.7689,0.7104,0.7385,808,214,174,YOLOv12,large
e_IMU,False,yolo12x,59.1,64,3,2,0.4726,0.801,0.828,0.709,0.7639,808,174,212,YOLOv12,large
e_IMU,True,yolo12x,59.1,200,3,2,0.4958,0.8518,0.8938,0.75,0.8156,808,115,230,YOLOv12,large
e_IMU,False,yolo12x,59.1,200,3,2,0.5177,0.8745,0.8895,0.7769,0.8294,808,105,238,YOLOv12,large
e_VT,True,yolo12x,59.1,16,3,2,0.3674,0.6719,0.7704,0.5591,0.648,408,197,39,YOLOv12,large
e_VT,False,yolo12x,59.1,16,3,2,0.4982,0.8225,0.849,0.7574,0.8006,408,82,93,YOLOv12,large
e_VT,True,yolo12x,59.1,64,3,2,0.5227,0.827,0.883,0.7402,0.8053,408,86,73,YOLOv12,large
e_VT,False,yolo12x,59.1,64,3,2,0.5742,0.8751,0.8802,0.7923,0.834,408,94,35,YOLOv12,large
e_VT,True,yolo12x,59.1,200,3,2,0.6162,0.9031,0.854,0.8554,0.8547,408,53,56,YOLOv12,large
e_VT,False,yolo12x,59.1,200,3,2,0.6329,0.9121,0.8719,0.8676,0.8698,408,48,54,YOLOv12,large
e_IMU,True,yolo11x,56.9,16,3,2,0.3433,0.6638,0.6817,0.5752,0.624,808,374,137,YOLOv11,large
e_IMU,False,yolo11x,56.9,16,3,2,0.4034,0.7512,0.7772,0.625,0.6928,808,243,209,YOLOv11,large
e_IMU,True,yolo11x,56.9,64,3,2,0.4662,0.777,0.841,0.6285,0.7194,808,231,174,YOLOv11,large
e_IMU,False,yolo11x,56.9,64,3,2,0.4813,0.8031,0.8002,0.7141,0.7547,808,182,205,YOLOv11,large
e_IMU,True,yolo11x,56.9,200,3,2,0.5002,0.8561,0.8979,0.7618,0.8243,808,116,275,YOLOv11,large
e_IMU,False,yolo11x,56.9,200,3,2,0.505,0.8478,0.8704,0.7587,0.8107,808,135,211,YOLOv11,large
e_VT,True,yolo11x,56.9,16,3,2,0.4067,0.7009,0.804,0.5784,0.6728,408,166,62,YOLOv11,large
e_VT,False,yolo11x,56.9,16,3,2,0.5233,0.8268,0.822,0.7402,0.779,408,98,79,YOLOv11,large
e_VT,True,yolo11x,56.9,64,3,2,0.5334,0.8465,0.8415,0.7696,0.8039,408,90,64,YOLOv11,large
e_VT,False,yolo11x,56.9,64,3,2,0.563,0.8703,0.889,0.7654,0.8226,408,87,43,YOLOv11,large
e_VT,True,yolo11x,56.9,200,3,2,0.6327,0.9074,0.8893,0.8467,0.8675,408,55,56,YOLOv11,large
e_VT,False,yolo11x,56.9,200,3,2,0.6252,0.9072,0.8784,0.8501,0.864,408,55,50,YOLOv11,large
e_IMU,True,rtdetr-x,86.0,16,3,2,0.3882,0.7276,0.736,0.6819,0.7079,808,194,309,DETR,large
e_IMU,False,rtdetr-x,86.0,16,3,2,0.4056,0.79,0.7894,0.7166,0.7512,808,108,659,DETR,large
e_IMU,True,rtdetr-x,86.0,64,3,2,0.4569,0.7898,0.8498,0.6918,0.7627,808,151,311,DETR,large
e_IMU,False,rtdetr-x,86.0,64,3,2,0.4598,0.8018,0.846,0.7343,0.7862,808,145,367,DETR,large
e_IMU,True,rtdetr-x,86.0,200,3,2,0.5493,0.8724,0.9073,0.7753,0.8361,808,85,498,DETR,large
e_IMU,False,rtdetr-x,86.0,200,3,2,0.5344,0.8742,0.9037,0.7723,0.8328,808,71,439,DETR,large
e_VT,True,rtdetr-x,86.0,16,3,2,0.4391,0.7721,0.7938,0.7181,0.7541,408,75,283,DETR,large
e_VT,False,rtdetr-x,86.0,16,3,2,0.5181,0.8432,0.8462,0.7279,0.7826,408,41,309,DETR,large
e_VT,True,rtdetr-x,86.0,64,3,2,0.522,0.8295,0.8327,0.7684,0.7993,408,54,267,DETR,large
e_IMU,True,yolo12x,59.1,16,1,1,0.3658,0.6768,0.7347,0.5879,0.6531,808,352,110,YOLOv12,large
e_IMU,False,yolo12x,59.1,16,1,1,0.4092,0.7374,0.7451,0.6448,0.6913,808,288,153,YOLOv12,large
e_IMU,True,yolo12x,59.1,64,1,1,0.5005,0.8123,0.8005,0.7314,0.7644,808,225,107,YOLOv12,large
e_IMU,False,yolo12x,59.1,64,1,1,0.5138,0.8396,0.8118,0.7661,0.7883,808,158,161,YOLOv12,large
e_IMU,True,yolo12x,59.1,200,1,1,0.5074,0.8565,0.8799,0.7707,0.8217,808,112,301,YOLOv12,large
e_IMU,False,yolo12x,59.1,200,1,1,0.5049,0.8565,0.8937,0.7475,0.8141,808,99,272,YOLOv12,large
e_VT,True,yolo12x,59.1,16,1,1,0.3941,0.6761,0.7415,0.5343,0.6211,408,212,35,YOLOv12,large
e_VT,False,yolo12x,59.1,16,1,1,0.4795,0.8311,0.7968,0.7647,0.7804,408,65,172,YOLOv12,large
e_VT,True,yolo12x,59.1,64,1,1,0.5462,0.8412,0.8714,0.7304,0.7947,408,125,29,YOLOv12,large
e_VT,False,yolo12x,59.1,64,1,1,0.5563,0.8605,0.8802,0.7696,0.8212,408,89,58,YOLOv12,large
e_VT,True,yolo12x,59.1,200,1,1,0.6184,0.9017,0.8913,0.8444,0.8672,408,57,47,YOLOv12,large
e_VT,False,yolo12x,59.1,200,1,1,0.6186,0.9008,0.8693,0.8505,0.8598,408,51,51,YOLOv12,large
e_IMU,True,yolo11x,56.9,16,1,1,0.347,0.6444,0.7546,0.5213,0.6166,808,383,111,YOLOv11,large
e_IMU,False,yolo11x,56.9,16,1,1,0.3865,0.745,0.8049,0.6423,0.7145,808,170,414,YOLOv11,large
e_IMU,True,yolo11x,56.9,64,1,1,0.5064,0.816,0.8324,0.7054,0.7637,808,240,90,YOLOv11,large
e_IMU,False,yolo11x,56.9,64,1,1,0.5067,0.8388,0.8068,0.7809,0.7937,808,152,171,YOLOv11,large
e_IMU,True,yolo11x,56.9,200,1,1,0.5522,0.8564,0.8386,0.778,0.8072,808,144,152,YOLOv11,large
e_IMU,False,yolo11x,56.9,200,1,1,0.5022,0.8494,0.8768,0.7624,0.8156,808,127,255,YOLOv11,large
e_VT,True,yolo11x,56.9,16,1,1,0.3806,0.717,0.7272,0.6495,0.6862,408,140,83,YOLOv11,large
e_VT,False,yolo11x,56.9,16,1,1,0.5094,0.8291,0.8781,0.7065,0.783,408,96,77,YOLOv11,large
e_VT,True,yolo11x,56.9,64,1,1,0.5406,0.8523,0.8738,0.7803,0.8244,408,108,34,YOLOv11,large
e_VT,False,yolo11x,56.9,64,1,1,0.5488,0.8757,0.8517,0.8015,0.8258,408,43,158,YOLOv11,large
e_VT,True,yolo11x,56.9,200,1,1,0.6202,0.8999,0.8608,0.8488,0.8548,408,61,51,YOLOv11,large
e_VT,False,yolo11x,56.9,200,1,1,0.6086,0.9068,0.8887,0.8456,0.8666,408,49,59,YOLOv11,large
e_IMU,True,rtdetr-x,86.0,64,1,1,0.3981,0.7319,0.8005,0.6559,0.7211,808,172,496,DETR,large
e_IMU,False,rtdetr-x,86.0,64,1,1,0.4821,0.8342,0.8121,0.7916,0.8017,808,102,389,DETR,large
e_IMU,True,rtdetr-x,86.0,200,1,1,0.5156,0.8573,0.8488,0.8057,0.8267,808,91,313,DETR,large
e_IMU,False,rtdetr-x,86.0,200,1,1,0.5224,0.8647,0.8857,0.7768,0.8277,808,81,381,DETR,large
e_VT,True,rtdetr-x,86.0,64,1,1,0.5149,0.8323,0.8843,0.7328,0.8015,408,57,276,DETR,large
e_VT,False,rtdetr-x,86.0,64,1,1,0.5609,0.8719,0.8825,0.7696,0.8222,408,43,201,DETR,large
e_VT,True,rtdetr-x,86.0,200,1,1,0.555,0.8655,0.8351,0.8088,0.8218,408,48,166,DETR,large
e_VT,False,rtdetr-x,86.0,200,1,1,0.5915,0.8997,0.8091,0.8652,0.8362,408,20,359,DETR,large
e_IMU,True,rtdetr-l,45.0,64,1,1,0.4757,0.838,0.8175,0.802,0.8097,808,98,433,DETR,small
e_IMU,False,rtdetr-l,45.0,64,1,1,0.4764,0.8387,0.8139,0.7686,0.7906,808,84,620,DETR,small
e_IMU,True,rtdetr-l,45.0,200,1,1,0.533,0.8731,0.883,0.8032,0.8412,808,76,436,DETR,small
e_IMU,False,rtdetr-l,45.0,200,1,1,0.5258,0.8697,0.8804,0.7562,0.8136,808,78,380,DETR,small
e_VT,True,rtdetr-l,45.0,64,1,1,0.5192,0.8394,0.8411,0.7941,0.8169,408,64,88,DETR,small
e_VT,False,rtdetr-l,45.0,64,1,1,0.562,0.8923,0.8888,0.8064,0.8456,408,47,133,DETR,small
e_VT,True,rtdetr-l,45.0,200,1,1,0.5755,0.8734,0.8725,0.8051,0.8375,408,40,195,DETR,small
e_VT,False,rtdetr-l,45.0,200,1,1,0.5837,0.9005,0.8843,0.8211,0.8515,408,38,125,DETR,small
e_IMU,True,yolo12n,2.6,64,1,1,0.4302,0.776,0.8048,0.7203,0.7602,808,181,243,YOLOv12,small
e_IMU,False,yolo12n,2.6,64,1,1,0.4478,0.8266,0.8582,0.7265,0.7868,808,145,269,YOLOv12,small
e_IMU,True,yolo12n,2.6,200,1,1,0.4702,0.8283,0.8828,0.7413,0.8059,808,126,278,YOLOv12,small
e_IMU,False,yolo12n,2.6,200,1,1,0.478,0.846,0.8849,0.7116,0.7889,808,116,320,YOLOv12,small
e_VT,True,yolo12n,2.6,64,1,1,0.5144,0.822,0.8346,0.7353,0.7818,408,100,57,YOLOv12,small
e_VT,False,yolo12n,2.6,64,1,1,0.5555,0.8803,0.907,0.7721,0.8341,408,65,96,YOLOv12,small
e_VT,True,yolo12n,2.6,200,1,1,0.5682,0.875,0.885,0.7917,0.8358,408,65,72,YOLOv12,small
e_VT,False,yolo12n,2.6,200,1,1,0.6029,0.8876,0.8893,0.8272,0.8571,408,62,53,YOLOv12,small
e_IMU,True,yolo11n,2.6,64,1,1,0.4674,0.8012,0.8133,0.701,0.753,808,203,166,YOLOv11,small
e_IMU,False,yolo11n,2.6,64,1,1,0.4345,0.7918,0.8263,0.7007,0.7584,808,171,227,YOLOv11,small
e_IMU,True,yolo11n,2.6,200,1,1,0.4965,0.8308,0.8596,0.7201,0.7837,808,162,196,YOLOv11,small
e_IMU,False,yolo11n,2.6,200,1,1,0.5111,0.8531,0.8925,0.7396,0.8089,808,127,241,YOLOv11,small
e_VT,True,yolo11n,2.6,64,1,1,0.4878,0.8236,0.8564,0.7304,0.7884,408,99,67,YOLOv11,small
e_VT,False,yolo11n,2.6,64,1,1,0.5375,0.8779,0.8304,0.8158,0.823,408,54,140,YOLOv11,small
e_VT,True,yolo11n,2.6,200,1,1,0.5923,0.8956,0.9021,0.8132,0.8553,408,60,53,YOLOv11,small
e_VT,False,yolo11n,2.6,200,1,1,0.5946,0.9114,0.9035,0.8257,0.8628,408,55,55,YOLOv11,small
