data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_IMU,False,yolo12n,2.6,200,5,1,0.488,0.847,0.8504,0.7458,0.7947,808,122,261,YOLOv12,small
e_VT,True,yolo12n,2.6,64,5,1,0.5283,0.8164,0.8495,0.7255,0.7826,408,103,56,YOLOv12,small
e_VT,False,yolo12n,2.6,64,5,1,0.5436,0.8565,0.8709,0.7475,0.8045,408,84,57,YOLOv12,small
e_VT,True,yolo12n,2.6,200,5,1,0.5956,0.8857,0.8761,0.8315,0.8532,408,64,54,YOLOv12,small
e_VT,False,yolo12n,2.6,200,5,1,0.6014,0.8944,0.8666,0.844,0.8552,408,57,53,YOLOv12,small
e_IMU,True,yolo11n,2.6,64,5,1,0.4414,0.7793,0.8173,0.6832,0.7442,808,196,215,YOLOv11,small
e_IMU,False,yolo11n,2.6,64,5,1,0.4455,0.7887,0.85,0.6856,0.759,808,199,185,YOLOv11,small
e_IMU,True,yolo11n,2.6,200,5,1,0.4969,0.8367,0.8772,0.7351,0.7999,808,155,196,YOLOv11,small
e_IMU,False,yolo11n,2.6,200,5,1,0.4759,0.8468,0.8557,0.7574,0.8036,808,119,255,YOLOv11,small
e_VT,True,yolo11n,2.6,64,5,1,0.5316,0.8474,0.8527,0.7805,0.815,408,98,47,YOLOv11,small
e_VT,False,yolo11n,2.6,64,5,1,0.5467,0.879,0.8624,0.7835,0.8211,408,58,116,YOLOv11,small
e_VT,True,yolo11n,2.6,200,5,1,0.6195,0.8944,0.8748,0.8395,0.8568,408,65,42,YOLOv11,small
e_VT,False,yolo11n,2.6,200,5,1,0.5986,0.9157,0.8819,0.8599,0.8708,408,45,74,YOLOv11,small
e_IMU,True,yolo12x,59.1,16,5,2,0.3684,0.6706,0.749,0.5569,0.6388,808,394,83,YOLOv12,large
e_IMU,False,yolo12x,59.1,16,5,2,0.4336,0.7611,0.7776,0.6621,0.7153,808,250,142,YOLOv12,large
e_IMU,True,yolo12x,59.1,64,5,2,0.4435,0.7711,0.8291,0.6904,0.7534,808,215,162,YOLOv12,large
e_IMU,False,yolo12x,59.1,64,5,2,0.4538,0.7919,0.8005,0.7327,0.7651,808,159,282,YOLOv12,large
e_IMU,True,yolo12x,59.1,200,5,2,0.5119,0.8343,0.8507,0.7264,0.7836,808,147,192,YOLOv12,large
e_IMU,False,yolo12x,59.1,200,5,2,0.5012,0.8521,0.8613,0.7723,0.8143,808,127,285,YOLOv12,large
e_VT,True,yolo12x,59.1,16,5,2,0.3925,0.6968,0.7735,0.5711,0.657,408,204,31,YOLOv12,large
e_VT,False,yolo12x,59.1,16,5,2,0.4983,0.806,0.8165,0.7196,0.765,408,133,43,YOLOv12,large
e_VT,True,yolo12x,59.1,64,5,2,0.5515,0.8574,0.9034,0.7562,0.8233,408,90,49,YOLOv12,large
e_VT,False,yolo12x,59.1,64,5,2,0.5697,0.8797,0.9036,0.7672,0.8298,408,66,76,YOLOv12,large
e_VT,True,yolo12x,59.1,200,5,2,0.6055,0.8962,0.9109,0.8023,0.8532,408,70,46,YOLOv12,large
e_VT,False,yolo12x,59.1,200,5,2,0.5986,0.9167,0.8869,0.8407,0.8632,408,45,72,YOLOv12,large
e_IMU,True,yolo11x,56.9,16,5,2,0.3716,0.6981,0.8016,0.5902,0.6798,808,272,187,YOLOv11,large
e_IMU,False,yolo11x,56.9,16,5,2,0.4432,0.7584,0.786,0.6621,0.7188,808,250,120,YOLOv11,large
e_IMU,True,yolo11x,56.9,64,5,2,0.4601,0.7887,0.7817,0.7266,0.7531,808,198,177,YOLOv11,large
e_IMU,False,yolo11x,56.9,64,5,2,0.4697,0.7911,0.8582,0.6856,0.7623,808,190,176,YOLOv11,large
e_IMU,True,yolo11x,56.9,200,5,2,0.5392,0.8601,0.8183,0.7805,0.799,808,156,146,YOLOv11,large
e_IMU,False,yolo11x,56.9,200,5,2,0.5128,0.8542,0.8935,0.7479,0.8142,808,129,177,YOLOv11,large
e_VT,True,yolo11x,56.9,16,5,2,0.3906,0.6984,0.7627,0.6029,0.6735,408,187,50,YOLOv11,large
e_VT,False,yolo11x,56.9,16,5,2,0.5056,0.8313,0.8112,0.7672,0.7886,408,79,105,YOLOv11,large
e_VT,True,yolo11x,56.9,64,5,2,0.5386,0.847,0.8437,0.7675,0.8038,408,97,45,YOLOv11,large
e_VT,False,yolo11x,56.9,64,5,2,0.5842,0.8972,0.8821,0.8249,0.8525,408,72,41,YOLOv11,large
e_VT,True,yolo11x,56.9,200,5,2,0.609,0.8986,0.8704,0.848,0.8591,408,53,58,YOLOv11,large
e_VT,False,yolo11x,56.9,200,5,2,0.6263,0.9047,0.9065,0.8313,0.8672,408,58,51,YOLOv11,large
e_IMU,True,rtdetr-x,86.0,64,5,2,0.4661,0.8111,0.8478,0.7104,0.773,808,126,451,DETR,large
e_IMU,False,rtdetr-x,86.0,64,5,2,0.4757,0.8319,0.8839,0.7348,0.8025,808,88,790,DETR,large
e_IMU,True,rtdetr-x,86.0,200,5,2,0.5181,0.8691,0.8398,0.7946,0.8165,808,80,423,DETR,large
e_IMU,False,rtdetr-x,86.0,200,5,2,0.505,0.8529,0.8612,0.7754,0.816,808,85,504,DETR,large
e_VT,True,rtdetr-x,86.0,64,5,2,0.5036,0.8433,0.8729,0.7577,0.8113,408,57,245,DETR,large
e_VT,False,rtdetr-x,86.0,64,5,2,0.5499,0.8722,0.8376,0.799,0.8179,408,38,283,DETR,large
e_VT,True,rtdetr-x,86.0,200,5,2,0.5942,0.8964,0.8852,0.8137,0.848,408,38,225,DETR,large
e_VT,False,rtdetr-x,86.0,200,5,2,0.5885,0.9004,0.8665,0.8115,0.8381,408,25,361,DETR,large
e_IMU,True,rtdetr-l,45.0,64,5,2,0.4839,0.8276,0.886,0.7213,0.7952,808,146,243,DETR,small
e_IMU,False,rtdetr-l,45.0,64,5,2,0.4599,0.8078,0.8463,0.7252,0.7811,808,98,883,DETR,small
e_IMU,True,rtdetr-l,45.0,200,5,2,0.5266,0.8743,0.8759,0.7921,0.8319,808,89,342,DETR,small
e_IMU,False,rtdetr-l,45.0,200,5,2,0.5355,0.8789,0.8586,0.7963,0.8263,808,79,298,DETR,small
e_VT,True,rtdetr-l,45.0,64,5,2,0.5291,0.8502,0.8339,0.8137,0.8237,408,61,102,DETR,small
e_VT,False,rtdetr-l,45.0,64,5,2,0.5699,0.8866,0.8282,0.7916,0.8095,408,29,306,DETR,small
e_VT,True,rtdetr-l,45.0,200,5,2,0.5829,0.8891,0.8482,0.8488,0.8485,408,42,151,DETR,small
e_VT,False,rtdetr-l,45.0,200,5,2,0.584,0.8988,0.8745,0.8284,0.8509,408,31,215,DETR,small
e_IMU,True,yolo12n,2.6,64,5,2,0.4325,0.7666,0.8378,0.6634,0.7405,808,215,213,YOLOv12,small
e_IMU,False,yolo12n,2.6,64,5,2,0.4284,0.7799,0.8684,0.6779,0.7614,808,163,333,YOLOv12,small
e_IMU,True,yolo12n,2.6,200,5,2,0.4674,0.834,0.8843,0.7327,0.8014,808,123,309,YOLOv12,small
e_IMU,False,yolo12n,2.6,200,5,2,0.4832,0.8426,0.849,0.7517,0.7974,808,106,464,YOLOv12,small
e_VT,True,yolo12n,2.6,64,5,2,0.5501,0.8556,0.8871,0.7475,0.8114,408,102,37,YOLOv12,small
e_VT,False,yolo12n,2.6,64,5,2,0.5761,0.8868,0.9084,0.7966,0.8488,408,72,49,YOLOv12,small
e_VT,True,yolo12n,2.6,200,5,2,0.5979,0.8899,0.8883,0.8381,0.8625,408,67,35,YOLOv12,small
e_VT,False,yolo12n,2.6,200,5,2,0.5851,0.9024,0.8674,0.8338,0.8503,408,47,99,YOLOv12,small
e_IMU,True,yolo11n,2.6,64,5,2,0.4479,0.7871,0.8187,0.7067,0.7586,808,196,175,YOLOv11,small
e_IMU,False,yolo11n,2.6,64,5,2,0.448,0.7893,0.8167,0.7005,0.7541,808,184,186,YOLOv11,small
e_IMU,True,yolo11n,2.6,200,5,2,0.4831,0.8567,0.8634,0.7669,0.8123,808,107,251,YOLOv11,small
e_IMU,False,yolo11n,2.6,200,5,2,0.4905,0.8318,0.855,0.7297,0.7874,808,131,287,YOLOv11,small
e_VT,True,yolo11n,2.6,64,5,2,0.5554,0.8588,0.8933,0.7593,0.8209,408,93,37,YOLOv11,small
e_VT,False,yolo11n,2.6,64,5,2,0.581,0.8931,0.9007,0.8001,0.8474,408,64,53,YOLOv11,small
e_VT,True,yolo11n,2.6,200,5,2,0.6149,0.9057,0.909,0.8309,0.8682,408,56,49,YOLOv11,small
e_VT,False,yolo11n,2.6,200,5,2,0.6165,0.9085,0.8794,0.8505,0.8647,408,55,59,YOLOv11,small
e_IMU,True,yolo12x,59.1,16,5,3,0.3768,0.685,0.7897,0.5578,0.6538,808,353,87,YOLOv12,large
e_IMU,True,rtdetr-x,86.0,16,5,1,0.344,0.6491,0.7547,0.5879,0.6609,808,260,356,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,1,0.3258,0.6677,0.7114,0.6275,0.6668,808,197,592,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,1,0.4473,0.7667,0.7672,0.7402,0.7535,408,94,122,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,1,0.5152,0.8252,0.8493,0.7185,0.7785,408,55,324,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,1,0.3352,0.6597,0.7446,0.6207,0.6771,808,170,1316,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,1,0.4093,0.7464,0.8028,0.6701,0.7304,808,159,469,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,1,0.4523,0.7925,0.8293,0.723,0.7725,408,92,110,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,1,0.4904,0.8231,0.8187,0.7206,0.7665,408,52,321,DETR,small
e_IMU,True,yolo12n,2.6,16,5,1,0.2702,0.6292,0.6975,0.6188,0.6558,808,215,375,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,1,0.3287,0.7038,0.7668,0.5928,0.6687,808,222,421,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,1,0.3711,0.6564,0.7592,0.5466,0.6356,408,207,43,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,1,0.4584,0.7909,0.8174,0.6838,0.7447,408,85,188,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,1,0.3206,0.6811,0.7093,0.625,0.6645,808,257,256,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,1,0.3238,0.6728,0.7584,0.5767,0.6552,808,248,459,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,1,0.4002,0.753,0.792,0.6531,0.7159,408,138,64,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,1,0.4912,0.828,0.8574,0.7108,0.7773,408,108,62,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,2,0.3848,0.7411,0.801,0.6609,0.7242,808,172,385,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,2,0.4181,0.7669,0.7926,0.7141,0.7513,808,162,302,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,2,0.4102,0.7452,0.7475,0.7083,0.7274,408,72,314,DETR,large
